"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.750704883171196
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.684075980425113
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.544584619020784
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.620728118942904
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.748922304975799
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.465467308050834
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.658788454968233
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.588491893552376
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.675869606701908
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.620487736314392
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.74904746822797
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.627623238502284
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.583750515759867
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.69641423766751
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.606695623747
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.738902230967619
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.634757631382235
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.716932073108293
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.772003036237701
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.717530292911578
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.574718614736601
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.598529904398576
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.588638427714155
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.788083439341575
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.69219261039942
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.496485765397768
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.714692204173003
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.656031703953596
