"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0190633011411516,0.0791479963135064
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0217336482131849,0.0330501436791898
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0107570775157746,0.00190968576475768
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0138707611592195,0.29284658351201
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00926579797151803,0.0937926660085537
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0409215558133259,0.0580968163553171
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0116707708989242,0.0198912384670332
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0270812962087152,0.0970806132431454
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0119180808805663,0.0437122865893056
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0190633011411516,0.0791479963135064
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0129567294289466,0.000989480574054615
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00737459094135872,0.0138690429832623
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0112774237408532,0.248973275345227
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0149528890913594,0.0151517430098255
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.03917919929517,0.0107077358030553
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0117723075870648,0.112062461804214
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0121019744624675,0.0964233984591454
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0101732994745611,0.0162792379722759
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0190633011411516,0.0791479963135064
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0106556257511692,0.0743552879491773
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0139325660325374,0.0192007751503069
