"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0696648484177294
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0843575411938448
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0299925535219697
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0605679258500701
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0524592400363893
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0634853536319298
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0396376761372409
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0809379976451152
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0453505070438376
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0696648484177294
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0495811598055583
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0314473701569279
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.083129300269632
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0381606264436307
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0953773535031774
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0284267349409142
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0453314502921852
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0533896682586998
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0696648484177294
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0268526746862291
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0349661452154757
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0801787086847492
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0515673880810293
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0520118814439501
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0287012174448685
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0427938997659382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0573236418392524
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0696648484177294
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0252804461898834
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.014530644841578
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0914939227351398
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0348330492453457
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0315015482000047
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0399763744737847
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0449191801937824
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0870203760812938
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.060052008191831
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0332218998764659
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.015851209111006
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0706977677465543
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0332416162582036
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0315015482000047
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0260162366381799
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","fecundity",0.0449191801937824
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.112862916463374
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","adult","survival",0.0420791764860743
