"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.209188865762971,0.112084688552064
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.300968846766112,0.210420969593643
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0841282877432775,0.019851131943998
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.198519951819511,0.135160765161619
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.203252937408148,0.0767996380716336
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.259833516867292,0.250911513217405
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0910496912937008,0.0482919703966806
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.383680060539332,0.315117417450685
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0629786386231244,0.0373234226806287
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.338059612190809,0.236247653336505
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.421645228297483,0.234885456582317
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.192065717962568,0.0309347868696234
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.192928591123119,0.156200746737011
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.131369494788546,0.0319220508190283
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.216952713899863,0.071935030347961
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.138233462221541,0.0841313847711568
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.278015527334846,0.200789146231079
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.184562324080191,0.220110030086702
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.525706075648657,0.453984209741588
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.213374023248299,0.15032144442428
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.113902821615299,0.0542130086824378
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.198794760643999,0.21283829682411
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.275009048781174,0.243756633355736
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.149206019799999,0.0154828765345531
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.196199696710342,0.166618268824603
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.141978520985983,0.115670145585976
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.194240163778888,0.111786614031136
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.397970249880183,0.349405578549325
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.249957303705304,0.0994079066441642
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.238754983113383,0.0495739297819153
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.114440567120752,0.00885451737730151
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.275009048781174,0.243756633355736
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0268746109344966,0.040869380763219
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.131755302659545,0.047512568539342
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.36390528820063,0.365195312177306
