"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0559812935080994,0,1,3,15,0,0,0,20,0.0480246070465977
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0883261271189383,1,1,3,15,0,0,0,20,0.0615496640793466
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0287792692874943,0,1,3,15,0,0,0,20,0.0200738110892339
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0940478666004205,1,1,3,15,0,0,0,20,0.0635620793726389
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.118167667603979,0,1,3,15,0,0,0,20,0.0956591171115439
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0290480679441471,1,1,3,15,0,0,0,20,0.0202848282140417
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.10051707718424,0,1,3,15,0,0,0,20,0.0686132318984756
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0687682887490152,1,1,3,15,0,0,0,20,0.0482103197634172
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.194162888265942,0,1,3,15,0,0,0,20,0.105156114899336
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0824173811695898,1,1,3,15,0,0,0,20,0.0739631632014181
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.112300367365558,0,1,3,15,0,0,0,20,0.0775736379428929
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0274333137670499,1,1,3,15,0,0,0,20,0.0165934778031596
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.00306344046838432,0,1,3,15,0,0,0,20,0.00228018371126898
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0590458643461087,1,1,3,15,0,0,0,20,0.0453559075568265
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.122964126544012,0,1,3,15,0,0,0,20,0.0825358224460263
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0893172929971155,1,1,3,15,0,0,0,20,0.0766559124402594
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0376134277778788,0,1,3,15,0,0,0,20,0.0253475874539637
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.139598499651939,1,1,3,15,0,0,0,20,0.096328438030975
"10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.107754082075595,0,1,3,15,0,0,0,20,0.0802781824821158
