"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0276011345122163,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.06751234677711,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0315330455416044,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.112383739848571,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0809887309550256,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0409922936896201,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0264956350593203,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0601685102568826,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.210480513589734,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0663298855049142,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.083205552338849,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0509209033515869,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0814101976773039,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0290078493718946,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.13613626478933,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0496563591239747,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0209917258535358,1,3,15,0,0,0,20
