"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.649296845115822,1,1,3,15,0,0,0,20,0.245331097355439
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.06042645610715,0,1,3,15,0,0,0,20,0.399722118266317
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.522659724209038,1,1,3,15,0,0,0,20,0.198794294464097
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.913648850954933,0,1,3,15,0,0,0,20,0.331839748420461
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,1,1,3,15,0,0,0,20,0.409088474040601
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.90616660185721,0,1,3,15,0,0,0,20,0.339156179850046
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.933467583086172,1,1,3,15,0,0,0,20,0.382428942309098
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,0,1,3,15,0,0,0,20,0.368283471659683
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,1,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.560011378703887,0,1,3,15,0,0,0,20,0.238870467116388
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.06042645610715,1,1,3,15,0,0,0,20,0.399722118266317
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.522659724209038,0,1,3,15,0,0,0,20,0.198794294464097
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.876341156501545,1,1,3,15,0,0,0,20,0.332583169242497
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0,1,3,15,0,0,0,20,0.409088474040601
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.633398454474347,1,1,3,15,0,0,0,20,0.265917415808859
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.956952142787692,0,1,3,15,0,0,0,20,0.365997360442848
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,1,1,3,15,0,0,0,20,0.368283471659683
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.560011378703887,1,1,3,15,0,0,0,20,0.238870467116388
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.08286352207194,0,1,3,15,0,0,0,20,0.399427773505406
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.424163293216735,1,1,3,15,0,0,0,20,0.159583000268775
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.876341156501545,0,1,3,15,0,0,0,20,0.332583169242497
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,1,1,3,15,0,0,0,20,0.409088474040601
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.72313995494837,0,1,3,15,0,0,0,20,0.304773207304766
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.13207540289882,1,1,3,15,0,0,0,20,0.472573532142358
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,0,1,3,15,0,0,0,20,0.368283471659683
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,1,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.646184583653955,0,1,3,15,0,0,0,20,0.250072873729554
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.869835754837846,1,1,3,15,0,0,0,20,0.333133175286383
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.589587608566107,0,1,3,15,0,0,0,20,0.234082638381173
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.834188374139354,1,1,3,15,0,0,0,20,0.31746157674657
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0,1,3,15,0,0,0,20,0.409088474040601
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.781635633475997,1,1,3,15,0,0,0,20,0.317144840426103
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.22921803992881,0,1,3,15,0,0,0,20,0.570961814892718
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.951980288577088,1,1,3,15,0,0,0,20,0.375293853904208
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.822908924042283,1,1,3,15,0,0,0,20,0.349405002014444
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.938997373839215,0,1,3,15,0,0,0,20,0.306055104437001
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.555867173853715,1,1,3,15,0,0,0,20,0.209955653556321
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.834188374139354,0,1,3,15,0,0,0,20,0.31746157674657
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,1,1,3,15,0,0,0,20,0.409088474040601
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.636964356380988,0,1,3,15,0,0,0,20,0.262842013607324
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.28732252991049,1,1,3,15,0,0,0,20,0.582570882212821
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.951980288577088,0,1,3,15,0,0,0,20,0.375293853904208
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,1,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.704693273745565,0,1,3,15,0,0,0,20,0.291962978681938
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.10798426198247,1,1,3,15,0,0,0,20,0.371229514781258
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.555867173853715,0,1,3,15,0,0,0,20,0.209955653556321
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.834188374139354,1,1,3,15,0,0,0,20,0.31746157674657
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.829982651333431,0,1,3,15,0,0,0,20,0.37150366082333
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.647578813579083,1,1,3,15,0,0,0,20,0.255499081916067
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.28732252991049,0,1,3,15,0,0,0,20,0.582570882212821
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.951980288577088,1,1,3,15,0,0,0,20,0.375293853904208
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0,1,3,15,0,0,0,20,0.207545258009888
"10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.704693273745565,1,1,3,15,0,0,0,20,0.291962978681938
