"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.484614519892688,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.478615346925141,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.02100330784982,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.270715284522478,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.764574628007289,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.733594453821432,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.717879900635203,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.597404975790067,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.484614519892688,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.317152101897242,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.02100330784982,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.270715284522478,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.651646729757235,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.483406989754156,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.726765949605244,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.597404975790067,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.484614519892688,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.317152101897242,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.05620907741588,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.109496364209285,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.651646729757235,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.604547090572419,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",1.00270803386319,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.597404975790067,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.484614519892688,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.437191263442848,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.796218699955998,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.374851874326719,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.650185983460852,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.63884710383749,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.18102479645514,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.710978920353702,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.484614519892688,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.648067476802542,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.804606266113517,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.418752002941685,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.650185983460852,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.507545418070635,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",1.26407181453451,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.710978920353702,1,3,15,0,0
