"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.428468684393372,0,1,3,15,0,0,0,20,0.225093463056444
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.480445693352826,1,1,3,15,0,0,0,20,0.239885965186177
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.506167078531065,0,1,3,15,0,0,0,20,0.258199586781025
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.476118854765851,1,1,3,15,0,0,0,20,0.253865860987462
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.486225085867113,0,1,3,15,0,0,0,20,0.240387594642047
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.674309247924226,1,1,3,15,0,0,0,20,0.362591255773264
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.401712089332177,0,1,3,15,0,0,0,20,0.196436430981202
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.498699985582564,1,1,3,15,0,0,0,20,0.252275923584642
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.410811910627405,0,1,3,15,0,0,0,20,0.181695806247022
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.399322375842883,1,1,3,15,0,0,0,20,0.218538072508228
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.382459847800268,0,1,3,15,0,0,0,20,0.183198884924611
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.471079326445417,1,1,3,15,0,0,0,20,0.203973371971493
"10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.428758736098563,0,1,3,15,0,0,0,20,0.241981025890363
