"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.58808168527913,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.736212367296097,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.717295326764526,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.675580254200364,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.675023454937804,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.828853181280497,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.579339421691881,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.718161537325376,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.596262505518198,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.583472238655155,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.55380325431435,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.630408507591203,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.643281317865949,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.802234382533805,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.700089159140563,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.395525400760078,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.717199004003949,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.596262505518198,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.517119951852499,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.586663283684804,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.823453120888759,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.643281317865949,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.737742170326016,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.647843596560761,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.693283723918277,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.720356358404182,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.593528198285132,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.708494346741594,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.515003916521992,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.85935451979096,1,3,15,0,0
