"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0265387714114099,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0517966151869195,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.482734414383781,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0281004783178033,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.733815730127131,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.185237219304882,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.15940840510399,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.59191932415341,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0278035829520229,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.29133101364914,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.306025613179404,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.091193548589948,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.259340324164248,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.394875794797177,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0196645392377222,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.124304516620749,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.819138294859062,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.0278035829520229,1,1,3,15,0,0,0,20
