"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.785311435087326,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.351362462023838,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.996979313625961,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.565930377519024,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.980279783009353,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.996979313625961,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.338744021925526,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.996979313625961,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.958274016972098,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.338744021925526,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.337516417543684,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.190149832834735,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.338744021925526,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.422201027950006,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.143458820013719,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.164104653483063,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.165912804855107,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.0185663740563529,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.860025345047771,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.218253471168907,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.476373531660522,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.706991306525665,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","survival",0.623331895070847,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","adult","fecundity",0.22086965301956,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.35296522966918,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.401214255907955,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.363484973970263,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.468793023377908,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.241739901272755,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.617211278894401,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.460559940386581,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.243691532720922,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.395318796032864,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.137649138676574,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.379489456758942,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.953438951535236,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.709775350576658,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.231340899417219,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.337141380199593,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","fecundity",0.524879658417679,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.0603474748630895,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.395318796032864,1,3,15,0,0
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Pbr","C","adult","survival",0.600922422649528,1,3,15,0,0
