"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.361100941891969,0,1,3,15,0,0,0,20,0.139752048156876
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.3320642353903,1,1,3,15,0,0,0,20,0.136872602052457
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.179868142998712,0,1,3,15,0,0,0,20,0.078213672854731
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.234457971283855,1,1,3,15,0,0,0,20,0.0913982482708251
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.366440113599797,0,1,3,15,0,0,0,20,0.141407530809406
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.111959211713879,1,1,3,15,0,0,0,20,0.046151945524523
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.170292181357578,0,1,3,15,0,0,0,20,0.0715763690025499
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.295787737578594,1,1,3,15,0,0,0,20,0.101178200793538
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.325336292500057,0,1,3,15,0,0,0,20,0.11447355596397
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.201088723488636,1,1,3,15,0,0,0,20,0.081405931301108
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.299308935989936,0,1,3,15,0,0,0,20,0.12035495146498
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.303800728448956,1,1,3,15,0,0,0,20,0.118608802837068
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.162910974853746,0,1,3,15,0,0,0,20,0.0666106151680788
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.339431842472027,1,1,3,15,0,0,0,20,0.152081725007155
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.215057756343866,0,1,3,15,0,0,0,20,0.106628508599553
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.306508821230261,1,1,3,15,0,0,0,20,0.124029817971771
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.217357265524815,0,1,3,15,0,0,0,20,0.0818432080627398
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.307932789502448,1,1,3,15,0,0,0,20,0.118272308702952
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.359638484296457,0,1,3,15,0,0,0,20,0.139911569700222
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.323584996720562,1,1,3,15,0,0,0,20,0.124124144263799
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.260563870278164,0,1,3,15,0,0,0,20,0.116388289962456
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.138465433287743,1,1,3,15,0,0,0,20,0.0602103625664693
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0922957578203427,0,1,3,15,0,0,0,20,0.0419184184170216
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.446643027323548,1,1,3,15,0,0,0,20,0.204405004862862
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.152377415465852,0,1,3,15,0,0,0,20,0.069759296653659
