"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.750704883171196,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.684075980425113,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.544584619020784,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.620728118942904,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.748922304975799,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.465467308050834,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.658788454968233,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.588491893552376,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.675869606701908,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.620487736314392,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.74904746822797,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.627623238502284,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.583750515759867,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.69641423766751,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.606695623747,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.738902230967619,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.634757631382235,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.716932073108293,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.772003036237701,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","fecundity",0.717530292911578,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella modularis","Europe","Tbr","C","adult","survival",0.574718614736601,1,3,15,0,0,0,20
