"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.209188865762971,0,1,3,15,0,0,0,20,0.105221943008906
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.300968846766112,1,1,3,15,0,0,0,20,0.170130708348804
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0841282877432771,0,1,3,15,0,0,0,20,0.0428849610206063
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.198519951819511,1,1,3,15,0,0,0,20,0.106077135230759
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.203252937408148,0,1,3,15,0,0,0,20,0.128910978437364
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.259833516867292,1,1,3,15,0,0,0,20,0.116914042146769
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0910496912937012,0,1,3,15,0,0,0,20,0.0389362970038546
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.383680060539331,1,1,3,15,0,0,0,20,0.18378601343579
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.0629786386231244,0,1,3,15,0,0,0,20,0.0283581758221995
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.338059612190808,1,1,3,15,0,0,0,20,0.170643304797926
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.421645228297483,0,1,3,15,0,0,0,20,0.215279618979594
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.192065717962569,1,1,3,15,0,0,0,20,0.0841036209905212
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.19292859112312,0,1,3,15,0,0,0,20,0.0914769981782805
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.131369494788546,1,1,3,15,0,0,0,20,0.0720121225726212
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.216952713899863,0,1,3,15,0,0,0,20,0.0945701047396748
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.138233462221541,1,1,3,15,0,0,0,20,0.0664613918467824
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.278015527334847,0,1,3,15,0,0,0,20,0.129412268736523
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.184562324080191,1,1,3,15,0,0,0,20,0.111366949276893
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.525706075648657,0,1,3,15,0,0,0,20,0.285066055683116
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.213374023248299,1,1,3,15,0,0,0,20,0.127020776718744
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.113902821615299,0,1,3,15,0,0,0,20,0.057436304540833
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.198794760643999,1,1,3,15,0,0,0,20,0.0912730015814896
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.275009048781174,0,1,3,15,0,0,0,20,0.132508903099547
"10.1098/rstb.2022.0194","2023","Birds","Turdus torquatus","Europe","Tbr","C","all","all",0.149206019799998,1,1,3,15,0,0,0,20,0.0668975931513972
