"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.239956962605234,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.344752261579443,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.118888600205778,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.244944644538148,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.207597496744776,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.311137762404587,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.105999213163779,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.416763088082265,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.157836473242824,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.37032309765296,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.455112431892618,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.215222098443814,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.237934211900566,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.145044821928829,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.263195110893516,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.245074795055674,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.329991754302822,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.269155530853235,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.580893867335898,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.253124952828629,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.22255252848437,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.251616975440083,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.285098960580226,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.145274042328895,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.295352213246308,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.181657209769057,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.265949593548273,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.432580232949647,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.276142842834166,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.291485414058997,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.107876578065096,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","fecundity",0.285098960580226,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.029771640343305,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.155008534318608,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.411592991809424,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Turdus torquatus","Europe","Tbr","C","adult","survival",0.32846274192267,1,3,15,0,0,0,20
