"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.460326561867851
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.369646115212201
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.475496993649935
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.754901925178397
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.845742009104196
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.332227783807571
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.488329146564159
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.460326561867851
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.483533318258038
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.475496993649935
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.643699113850284
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.614553814044891
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.306134964949511
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.488329146564159
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.483533318258038
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.475496993649935
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.632707372459471
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.851918022473976
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.306134964949511
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.488329146564159
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.483533318258038
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.530104984188853
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.562234434383358
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.655339523523867
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.306134964949511
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.510042830088043
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.642440949554093
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.530104984188853
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.901069453045593
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.926255688375117
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.306134964949511
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.510042830088043
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.712654341700357
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.421605305301935
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.815899165206478
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",1.25270087312399
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.466103883442718
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.559776458220448
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.378254097724526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.77272052822454
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.421605305301935
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.817582696234926
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",1.10390397703568
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.345593421857532
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.301355582357047
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.66599372191139
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.312815726667377
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",0.354440523149674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","survival",1.2071375934569
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Pyrrhula pyrrhula","Europe","Tbr","C","adult","fecundity",0.419275012834019
