"","year","tmaxc","rain","pop"
"1",1994,30.040036860086,779.208988,58
"2",1995,30.6811442616344,1137.4338909,56
"3",1996,30.3716726069032,1099.25871,50
"4",1997,30.5443032240645,1035.5495,27
"5",1998,30.7957757586237,1289.5523393,44
"6",1999,30.8806944014194,1200.3544228,100
"7",2000,30.9309505049893,1016.6545547,106
"8",2001,30.9826302208387,779.5223579,111
"9",2002,31.4122157313334,1003.9360535,86
"10",2003,31.1320727211613,1062.5604241,104
"11",2004,31.0457667592473,936.5948909,50
"12",2005,31.6475936036559,832.0035961,55
"13",2006,30.7625151976129,1306.4115916,47
"14",2007,31.6839445828817,943.1232774,99
"15",2008,31.6725588898065,1016.8099289,134
"16",2009,32.076019285914,660.6346609,99
"17",2010,31.8882838767527,1081.285682,88
"18",2011,31.5257803776129,788.1003558,74
"19",2012,31.6198772505807,735.512074,34
"20",2013,31.774027944,1052.3591634,59
"21",2014,31.2300158654409,1404.1900306,76
"22",2015,31.0832744291613,721.3156836,92
"23",2016,30.8293031435054,690.6927996,112
"24",2017,32.0639250341075,638.2191294,90
"25",2018,31.8421279980215,663.356631302329,124
"26",2019,31.7699153268172,620.976946051979,125
"27",2020,31.5373471236374,620.976946051979,193
