Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,Goodbuds_t,Year_t1,Recruit,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,Goodbuds_t1,comments,
T1,AD10,0,2004,89,72,72,1,2005,0,0,1,102,63,36,3,,
T1,AD11,0,2004,78,42,42,1,2005,0,0,1,93,34,29,3,,
T1,AD14,0,2004,99,126,126,9,2005,0,0,1,100,117,45,12,,
T1,AD15,0,2004,127,54,54,9,2005,0,0,1,105,49,27,2,,
T1,AD16,0,2004,93,115,115,10,2005,0,0,1,68,115,38,4,,
T1,AD17,0,2004,79,69,69,7,2005,0,0,1,95,62,49,18,,
T1,AD18,0,2004,111,61,61,6,2005,0,0,1,107,53,43,11,,
T1,AD19,0,2004,94,67,67,19,2005,0,0,1,98,61,42,11,,
T1,AD20,0,2004,120,60,60,26,2005,0,0,1,125,81,34,2,,
T1,AD21,0,2004,110,100,100,3,2005,0,0,1,117,119,56,6,,
T1,AD22,0,2004,73,35,35,3,2005,0,0,1,84,45,34,6,,
T1,AD23,0,2004,85,82,82,14,2005,0,0,1,107,93,72,31,,
T1,AD27,0,2004,120,44,44,3,2005,0,0,1,132,63,52,23,,
T1,AD28,0,2004,90,62,62,1,2005,0,0,1,96,70,43,5,,
T1,AD29,0,2004,150,130,130,22,2005,0,0,1,54,141,61,26,,
T1,AD3,0,2004,90,74,74,7,2005,0,0,1,95,59,50,9,,
T1,AD4,0,2004,99,94,94,17,2005,0,0,1,103,98,29,17,,
T1,AD6,0,2004,92,58,58,8,2005,0,0,1,78,84,54,1,,
T1,AD8,0,2004,172,124,124,20,2005,0,0,1,174,82,79,21,,
T1,AD9,0,2004,84,88,88,12,2005,0,0,1,87,63,31,6,,
T1,LJ11,0,2004,56,25,25,0,2005,0,0,1,58,39,28,0,,
T1,LJ12,0,2004,73,66,66,0,2005,0,0,1,76,72,31,0,,
T1,LJ13,0,2004,64,28,28,0,2005,0,0,1,73,37,22,0,,
T1,LJ14,0,2004,63,62,62,0,2005,0,0,1,66,40,29,1,,
T1,LJ15,0,2004,43,20,20,0,2005,0,0,1,46,19,21,0,,
T1,LJ16,0,2004,57,67,67,0,2005,0,0,1,70,69,52,0,,
T1,LJ17,0,2004,47,29,29,0,2005,0,0,1,49,34,28,0,,
T1,LJ3,0,2004,52,35,35,0,2005,0,0,1,49,34,24,0,,
T1,LJ8,0,2004,45,29,29,0,2005,0,0,1,48,45,21,0,,
T1,LJ9,0,2004,63,48,48,0,2005,0,0,1,77,45,39,0,,
T1,SJ11,0,2004,32,15,15,0,2005,0,0,1,34,26,23,0,,
T1,SJ13,0,2004,22,18,18,0,2005,0,0,1,33,12,12,0,,
T1,SJ17,0,2004,20,13,13,0,2005,0,0,1,26,11,10,0,,
T1,SJ2,0,2004,48,32,32,0,2005,0,0,1,51,22,14,0,,
