Species,Population,Longitude,Latitude
ARTR,USSES Dubois,-112.2001023,44.24460529
CIPI,Wilderness State Park,-84.94213397,45.71462031
CRFL,Redfleet,-109.43204,40.59548
HECO,USSES Dubois,-112.2001023,44.24460529
HEQU,Low,-107.1593,38.8629
HEQU,Mid,-106.9883,38.95833
HEQU,High,-106.9782,38.97687
ISME,Abotts Mountain,-70.83405278,43.59656389
ISME,Bauneg Beg,-70.77633889,43.384425
ISME,Kents Hill,-70.00165278,44.399425
ISME,Deer Hill,-70.66574167,44.139475
LUTI,Point Reyes National Seashore,-122.9579,33.112
OPIM,Sevilleta,-106.621,34.329
